group,epoch,batch,loss,lr
D,4,55,0.05001746863126755,0.001
D,4,56,0.05698815733194351,0.001
D,4,57,0.04838215187191963,0.001
D,4,58,0.05484732612967491,0.001
D,4,59,0.04602649435400963,0.001
D,4,60,0.05391174182295799,0.001
D,4,61,0.045335568487644196,0.001
D,4,62,0.044994253665208817,0.001
D,4,63,0.047961436212062836,0.001
D,4,64,0.0559687614440918,0.001
D,4,65,0.04329117760062218,0.001
D,4,66,0.04794970527291298,0.001
D,4,67,0.05121321976184845,0.001
D,4,68,0.04544909670948982,0.001
D,4,69,0.054722122848033905,0.001
D,4,70,0.045184407383203506,0.001
D,4,71,0.06797626614570618,0.001
D,4,72,0.04636765643954277,0.001
D,4,73,0.04599311947822571,0.001
D,4,74,0.05355489253997803,0.001
D,4,75,0.08110032975673676,0.001
D,4,76,0.04389461874961853,0.001
D,4,77,0.04929604381322861,0.001
D,4,78,0.046317119151353836,0.001
D,4,79,0.04409494623541832,0.001
D,4,80,0.052532896399497986,0.001
D,4,81,0.041652001440525055,0.001
D,4,82,0.052159179002046585,0.001
D,4,83,0.041705451905727386,0.001
D,4,84,0.043269671499729156,0.001
D,4,85,0.05041561275720596,0.001
D,4,86,0.04457312077283859,0.001
D,4,87,0.08449459075927734,0.001
D,4,88,0.06213879957795143,0.001
D,4,89,0.041839901357889175,0.001
D,4,90,0.04693556949496269,0.001
D,4,91,0.045386333018541336,0.001
D,4,92,0.07026407867670059,0.001
D,4,93,0.04833267256617546,0.001
D,4,94,0.06148748844861984,0.001
D,4,95,0.042922891676425934,0.001
D,4,96,0.04163606837391853,0.001
D,4,97,0.043201860040426254,0.001
D,4,98,0.04119114950299263,0.001
D,5,0,0.03844400867819786,0.001
D,5,1,0.05752762779593468,0.001
D,5,2,0.04117012023925781,0.001
D,5,3,0.04039967805147171,0.001
D,5,4,0.04677663743495941,0.001
D,5,5,0.04922737926244736,0.001
D,5,6,0.05297304689884186,0.001
D,5,7,0.044181689620018005,0.001
D,5,8,0.059426791965961456,0.001
D,5,9,0.03889480605721474,0.001
D,5,10,0.04283149912953377,0.001
D,5,11,0.04319015145301819,0.001
D,5,12,0.06831181794404984,0.001
D,5,13,0.03880925849080086,0.001
D,5,14,0.04158183932304382,0.001
D,5,15,0.040037982165813446,0.001
D,5,16,0.04863676801323891,0.001
D,5,17,0.03993389010429382,0.001
D,5,18,0.047239746898412704,0.001
D,5,19,0.03918978571891785,0.001
D,5,20,0.04404955729842186,0.001
D,5,21,0.04068037122488022,0.001
D,5,22,0.03705352172255516,0.001
D,5,23,0.03972608968615532,0.001
D,5,24,0.03884924203157425,0.001
D,5,25,0.055014315992593765,0.001
D,5,26,0.06810404360294342,0.001
D,5,27,0.035723838955163956,0.001
D,5,28,0.04415407031774521,0.001
D,5,29,0.038009386509656906,0.001
D,5,30,0.06237194687128067,0.001
D,5,31,0.05845724791288376,0.001
D,5,32,0.045372843742370605,0.001
D,5,33,0.051942404359579086,0.001
D,5,34,0.04284130781888962,0.001
D,5,35,0.04004451632499695,0.001
D,5,36,0.05895721912384033,0.001
D,5,37,0.03921246528625488,0.001
D,5,38,0.04621747136116028,0.001
D,5,39,0.054233938455581665,0.001
D,5,40,0.03652963042259216,0.001
D,5,41,0.04202565550804138,0.001
D,5,42,0.05340859666466713,0.001
D,5,43,0.0368923544883728,0.001
D,5,44,0.038704272359609604,0.001
D,5,45,0.037772037088871,0.001
D,5,46,0.04191475361585617,0.001
D,5,47,0.04453597590327263,0.001
D,5,48,0.03992101177573204,0.001
D,5,49,0.03555915877223015,0.001
D,5,50,0.06213908642530441,0.001
D,5,51,0.036803826689720154,0.001
D,5,52,0.04246409237384796,0.001
D,5,53,0.03549974784255028,0.001
D,5,54,0.06264419853687286,0.001
D,5,55,0.07766544073820114,0.001
D,5,56,0.05292656272649765,0.001
D,5,57,0.06636513769626617,0.001
D,5,58,0.04291705787181854,0.001
D,5,59,0.04493420943617821,0.001
D,5,60,0.03761254996061325,0.001
D,5,61,0.05030304566025734,0.001
D,5,62,0.04506953805685043,0.001
D,5,63,0.037633709609508514,0.001
D,5,64,0.04000620171427727,0.001
D,5,65,0.03787343204021454,0.001
D,5,66,0.04259574040770531,0.001
D,5,67,0.04008043557405472,0.001
D,5,68,0.036206383258104324,0.001
D,5,69,0.0630960762500763,0.001
D,5,70,0.03766341507434845,0.001
D,5,71,0.03420747071504593,0.001
D,5,72,0.04387836158275604,0.001
D,5,73,0.0359422005712986,0.001
D,5,74,0.04860660433769226,0.001
D,5,75,0.05662894248962402,0.001
D,5,76,0.044804975390434265,0.001
D,5,77,0.0507720448076725,0.001
D,5,78,0.04140922427177429,0.001
D,5,79,0.04497508332133293,0.001
D,5,80,0.03639291226863861,0.001
D,5,81,0.05196598544716835,0.001
D,5,82,0.0347813218832016,0.001
D,5,83,0.03549614176154137,0.001
D,5,84,0.041914697736501694,0.001
D,5,85,0.033603131771087646,0.001
D,5,86,0.04107624292373657,0.001
D,5,87,0.04369303584098816,0.001
D,5,88,0.06682123988866806,0.001
D,5,89,0.07034000009298325,0.001
D,5,90,0.04166500270366669,0.001
D,5,91,0.03305115923285484,0.001
D,5,92,0.0383920893073082,0.001
D,5,93,0.03855632618069649,0.001
D,5,94,0.033467356115579605,0.001
D,5,95,0.03743278607726097,0.001
D,5,96,0.03322949260473251,0.001
D,5,97,0.03814653679728508,0.001
D,5,98,0.09381704032421112,0.001
D,6,0,0.0397990345954895,0.001
D,6,1,0.03144450858235359,0.001
D,6,2,0.04330439865589142,0.001
D,6,3,0.0329025574028492,0.001
D,6,4,0.03259360045194626,0.001
D,6,5,0.03556453436613083,0.001
D,6,6,0.04091861471533775,0.001
D,6,7,0.03640507906675339,0.001
D,6,8,0.03337313234806061,0.001
D,6,9,0.04978170618414879,0.001
D,6,10,0.0403926745057106,0.001
D,6,11,0.032750677317380905,0.001
D,6,12,0.05378951132297516,0.001
D,6,13,0.05121023952960968,0.001
D,6,14,0.03125135600566864,0.001
D,6,15,0.048701006919145584,0.001
D,6,16,0.03015613555908203,0.001
D,6,17,0.03188960626721382,0.001
D,6,18,0.03275931999087334,0.001
D,6,19,0.0851554125547409,0.001
D,6,20,0.030633866786956787,0.001
D,6,21,0.034995321184396744,0.001
D,6,22,0.04831327125430107,0.001
D,6,23,0.04140086844563484,0.001
D,6,24,0.031099950894713402,0.001
D,6,25,0.03220190852880478,0.001
D,6,26,0.03250105306506157,0.001
D,6,27,0.031713999807834625,0.001
D,6,28,0.04051100090146065,0.001
D,6,29,0.031233403831720352,0.001
D,6,30,0.047371234744787216,0.001
D,6,31,0.04746532812714577,0.001
D,6,32,0.029516374692320824,0.001
D,6,33,0.030353369191288948,0.001
D,6,34,0.07878933101892471,0.001
D,6,35,0.03702455386519432,0.001
D,6,36,0.0671919509768486,0.001
D,6,37,0.0317697748541832,0.001
D,6,38,0.040168628096580505,0.001
D,6,39,0.05752228572964668,0.001
D,6,40,0.034700702875852585,0.001
D,6,41,0.04402637854218483,0.001
D,6,42,0.03791680186986923,0.001
D,6,43,0.05541646108031273,0.001
D,6,44,0.02770889736711979,0.001
D,6,45,0.036773160099983215,0.001
D,6,46,0.040894780308008194,0.001
D,6,47,0.054002758115530014,0.001
D,6,48,0.0376073494553566,0.001
D,6,49,0.027018168941140175,0.001
D,6,50,0.03726925700902939,0.001
D,6,51,0.03143554925918579,0.001
D,6,52,0.03169389069080353,0.001
D,6,53,0.035644058138132095,0.001
D,6,54,0.029236122965812683,0.001
D,6,55,0.03361400216817856,0.001
D,6,56,0.03917756304144859,0.001
D,6,57,0.05689099431037903,0.001
D,6,58,0.031292010098695755,0.001
D,6,59,0.03254169598221779,0.001
D,6,60,0.037533946335315704,0.001
D,6,61,0.05770058184862137,0.001
D,6,62,0.03535866364836693,0.001
D,6,63,0.04383106529712677,0.001
D,6,64,0.03551425784826279,0.001
D,6,65,0.035168860107660294,0.001
D,6,66,0.032599903643131256,0.001
D,6,67,0.05502123758196831,0.001
D,6,68,0.03478485345840454,0.001
D,6,69,0.03547277674078941,0.001
D,6,70,0.029110342264175415,0.001
D,6,71,0.03004050813615322,0.001
D,6,72,0.03119242563843727,0.001
D,6,73,0.0626177117228508,0.001
D,6,74,0.030096232891082764,0.001
D,6,75,0.02843078225851059,0.001
D,6,76,0.03587576001882553,0.001
D,6,77,0.03712425008416176,0.001
D,6,78,0.029269902035593987,0.001
D,6,79,0.028559204190969467,0.001
D,6,80,0.03435970097780228,0.001
D,6,81,0.027879543602466583,0.001
D,6,82,0.0417633019387722,0.001
D,6,83,0.03461267054080963,0.001
D,6,84,0.030446959659457207,0.001
D,6,85,0.04233042150735855,0.001
D,6,86,0.03877663612365723,0.001
D,6,87,0.032096654176712036,0.001
D,6,88,0.025889739394187927,0.001
D,6,89,0.030427249148488045,0.001
D,6,90,0.05962425470352173,0.001
D,6,91,0.04034791886806488,0.001
D,6,92,0.026594001799821854,0.001
D,6,93,0.049408674240112305,0.001
D,6,94,0.044324565678834915,0.001
D,6,95,0.028254611417651176,0.001
D,6,96,0.028233861550688744,0.001
D,6,97,0.033816855400800705,0.001
D,6,98,0.026156188920140266,0.001
D,7,0,0.03947801887989044,0.001
D,7,1,0.028626687824726105,0.001
D,7,2,0.028508635237812996,0.001
D,7,3,0.030752910301089287,0.001
D,7,4,0.027591118589043617,0.001
D,7,5,0.04466227442026138,0.001
D,7,6,0.027804918587207794,0.001
D,7,7,0.027752453461289406,0.001
D,7,8,0.02999497391283512,0.001
D,7,9,0.030291033908724785,0.001
D,7,10,0.03741089254617691,0.001
D,7,11,0.05214982107281685,0.001
D,7,12,0.025682436302304268,0.001
D,7,13,0.04244571551680565,0.001
D,7,14,0.026495536789298058,0.001
D,7,15,0.030306298285722733,0.001
D,7,16,0.028617992997169495,0.001
D,7,17,0.04615927115082741,0.001
D,7,18,0.03112095221877098,0.001
D,7,19,0.03956440091133118,0.001
D,7,20,0.04928658530116081,0.001
D,7,21,0.0307718925178051,0.001
D,7,22,0.025477629154920578,0.001
D,7,23,0.03168513998389244,0.001
D,7,24,0.03379315137863159,0.001
D,7,25,0.032234638929367065,0.001
D,7,26,0.029004303738474846,0.001
D,7,27,0.041866742074489594,0.001
D,7,28,0.02900165319442749,0.001
D,7,29,0.028936238959431648,0.001
D,7,30,0.04625177010893822,0.001
D,7,31,0.03808924928307533,0.001
D,7,32,0.033094052225351334,0.001
D,7,33,0.02631380595266819,0.001
D,7,34,0.025344327092170715,0.001
D,7,35,0.027570510283112526,0.001
D,7,36,0.03154388815164566,0.001
D,7,37,0.02653687074780464,0.001
D,7,38,0.034021615982055664,0.001
D,7,39,0.03845039755105972,0.001
D,7,40,0.027072899043560028,0.001
